incident_severity,insured_hobbies,total_claim_amount,policy_annual_premium,age,insured_occupation,insured_relationship,umbrella_limit,collision_type,incident_type,fraud_reported
Major Damage,biking,19375,1173,23,lawyer,own-child,1200000,Rear Collision,Single Vehicle Collision,1
Minor Damage,reading,26421,1177,59,doctor,own-child,0,Side Collision,Multi-vehicle Collision,1
Major Damage,reading,16203,1138,24,manager,own-child,0,Side Collision,Single Vehicle Collision,0
Major Damage,reading,22942,1076,21,engineer,unmarried,600000,Side Collision,Parked Car,1
Major Damage,cross-fit,26168,1425,58,lawyer,wife,0,Rear Collision,Single Vehicle Collision,1
Total Loss,reading,16165,938,25,lawyer,own-child,600000,Side Collision,Parked Car,0
Minor Damage,skydiving,24803,1255,25,manager,husband,600000,Front Collision,Single Vehicle Collision,0
Minor Damage,chess,18484,976,42,manager,wife,0,Front Collision,Parked Car,0
Trivial Damage,chess,17358,900,34,manager,husband,1200000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,chess,1460,938,48,engineer,unmarried,600000,Front Collision,Multi-vehicle Collision,1
Major Damage,reading,13728,1181,32,doctor,husband,1200000,Side Collision,Multi-vehicle Collision,0
Total Loss,reading,15779,783,32,doctor,own-child,1200000,Rear Collision,Single Vehicle Collision,1
Total Loss,cross-fit,13309,1151,61,engineer,husband,1200000,Side Collision,Single Vehicle Collision,0
Total Loss,chess,18580,737,68,manager,own-child,0,Side Collision,Parked Car,0
Total Loss,cross-fit,15489,928,60,lawyer,other-relative,1200000,Rear Collision,Parked Car,0
Major Damage,cross-fit,20155,985,58,doctor,unmarried,0,Rear Collision,Single Vehicle Collision,1
Major Damage,reading,4574,726,67,lawyer,unmarried,600000,Side Collision,Parked Car,0
Minor Damage,skydiving,13066,1068,63,lawyer,unmarried,0,Side Collision,Multi-vehicle Collision,0
Major Damage,chess,9211,1099,63,lawyer,wife,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,reading,11922,489,35,teacher,wife,1200000,Side Collision,Parked Car,0
Minor Damage,chess,19269,694,59,engineer,unmarried,600000,Side Collision,Parked Car,0
Trivial Damage,skydiving,12427,523,40,teacher,unmarried,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,board games,15662,1109,65,engineer,wife,1200000,Front Collision,Parked Car,0
Major Damage,chess,13461,624,19,manager,own-child,0,Front Collision,Parked Car,0
Minor Damage,skydiving,22177,999,64,engineer,husband,600000,Front Collision,Parked Car,1
Minor Damage,cross-fit,24914,919,49,teacher,husband,1200000,Rear Collision,Single Vehicle Collision,1
Trivial Damage,chess,15125,1235,40,doctor,wife,0,Side Collision,Parked Car,0
Minor Damage,skydiving,11401,866,18,lawyer,husband,1200000,Front Collision,Multi-vehicle Collision,1
Major Damage,chess,20452,1146,40,teacher,wife,600000,Side Collision,Parked Car,0
Minor Damage,cross-fit,15103,797,21,engineer,husband,1200000,Side Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,18252,888,61,engineer,husband,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,board games,18562,850,42,engineer,other-relative,1200000,Rear Collision,Parked Car,0
Total Loss,cross-fit,19417,1143,21,doctor,own-child,1200000,Side Collision,Single Vehicle Collision,0
Trivial Damage,board games,17797,479,41,manager,husband,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,reading,12018,1568,28,engineer,own-child,600000,Rear Collision,Parked Car,0
Major Damage,chess,16053,1307,30,teacher,wife,0,Side Collision,Single Vehicle Collision,1
Trivial Damage,board games,16202,588,23,manager,husband,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,chess,17558,957,25,teacher,husband,1200000,Front Collision,Multi-vehicle Collision,1
Minor Damage,board games,11477,805,39,engineer,husband,1200000,Front Collision,Parked Car,0
Total Loss,biking,19620,1279,20,engineer,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,15769,582,47,manager,husband,1200000,Side Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,20968,1019,22,doctor,unmarried,600000,Rear Collision,Parked Car,1
Major Damage,cross-fit,18445,1374,57,doctor,wife,600000,Front Collision,Parked Car,0
Minor Damage,skydiving,10584,1312,19,teacher,other-relative,600000,Side Collision,Parked Car,0
Major Damage,skydiving,14410,1591,59,engineer,own-child,1200000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,cross-fit,16411,1305,59,teacher,wife,600000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,biking,14902,654,49,doctor,unmarried,0,Side Collision,Parked Car,0
Major Damage,reading,18780,911,69,engineer,husband,600000,Front Collision,Single Vehicle Collision,0
Total Loss,chess,10945,1141,35,engineer,husband,0,Rear Collision,Parked Car,0
Total Loss,cross-fit,16229,1453,46,lawyer,other-relative,600000,Front Collision,Single Vehicle Collision,0
Total Loss,biking,11632,465,34,manager,wife,1200000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,biking,12378,778,43,teacher,husband,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,skydiving,16671,1161,37,lawyer,own-child,600000,Side Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,18258,965,30,doctor,wife,1200000,Front Collision,Parked Car,0
Trivial Damage,board games,17664,1147,52,doctor,wife,0,Side Collision,Multi-vehicle Collision,0
Major Damage,skydiving,27422,1416,22,lawyer,own-child,1200000,Rear Collision,Parked Car,0
Trivial Damage,biking,13145,982,20,engineer,other-relative,0,Side Collision,Single Vehicle Collision,0
Minor Damage,cross-fit,12845,978,37,lawyer,wife,600000,Rear Collision,Parked Car,0
Total Loss,board games,14619,984,50,manager,other-relative,600000,Rear Collision,Single Vehicle Collision,1
Minor Damage,reading,17914,924,50,manager,wife,1200000,Rear Collision,Multi-vehicle Collision,1
Minor Damage,chess,12262,1283,56,engineer,other-relative,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,cross-fit,13762,1186,39,manager,wife,600000,Front Collision,Single Vehicle Collision,1
Total Loss,reading,15559,819,62,lawyer,other-relative,1200000,Side Collision,Multi-vehicle Collision,1
Major Damage,board games,15580,1042,51,lawyer,husband,1200000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,chess,15047,760,19,teacher,unmarried,1200000,Front Collision,Single Vehicle Collision,0
Minor Damage,skydiving,13397,1071,44,teacher,wife,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,skydiving,20686,696,23,engineer,own-child,1200000,Front Collision,Multi-vehicle Collision,1
Total Loss,chess,22331,1238,28,doctor,unmarried,1200000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,cross-fit,13460,1021,67,doctor,unmarried,1200000,Rear Collision,Parked Car,0
Minor Damage,cross-fit,18314,913,46,doctor,husband,600000,Side Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,13948,1003,33,teacher,unmarried,0,Side Collision,Multi-vehicle Collision,1
Trivial Damage,skydiving,17829,1404,55,doctor,husband,1200000,Side Collision,Single Vehicle Collision,0
Minor Damage,board games,18730,679,37,doctor,husband,1200000,Rear Collision,Parked Car,0
Total Loss,skydiving,21787,739,42,lawyer,wife,0,Side Collision,Single Vehicle Collision,0
Major Damage,reading,12881,1144,59,manager,unmarried,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,27180,1554,42,doctor,other-relative,600000,Front Collision,Multi-vehicle Collision,0
Major Damage,biking,19989,733,67,lawyer,other-relative,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,reading,25207,976,38,manager,husband,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,16326,1066,60,lawyer,other-relative,1200000,Front Collision,Parked Car,1
Total Loss,chess,19225,1124,28,manager,unmarried,1200000,Rear Collision,Parked Car,0
Total Loss,cross-fit,13400,1873,18,engineer,unmarried,600000,Side Collision,Multi-vehicle Collision,1
Trivial Damage,skydiving,19245,750,37,lawyer,unmarried,600000,Rear Collision,Parked Car,0
Trivial Damage,cross-fit,15642,820,53,engineer,husband,600000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,reading,20352,1316,55,manager,own-child,600000,Front Collision,Multi-vehicle Collision,1
Total Loss,biking,16955,986,65,manager,husband,1200000,Rear Collision,Single Vehicle Collision,1
Major Damage,reading,19267,967,20,doctor,unmarried,600000,Front Collision,Single Vehicle Collision,0
Minor Damage,cross-fit,21445,903,63,engineer,wife,1200000,Front Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,8672,861,60,engineer,other-relative,0,Front Collision,Multi-vehicle Collision,1
Trivial Damage,cross-fit,14990,1227,68,engineer,unmarried,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,chess,17961,888,22,doctor,other-relative,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,chess,16559,1228,43,engineer,wife,1200000,Rear Collision,Parked Car,0
Minor Damage,skydiving,15980,1064,37,engineer,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,biking,16043,874,37,doctor,wife,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,19484,780,54,manager,wife,0,Rear Collision,Single Vehicle Collision,1
Major Damage,board games,7980,1307,31,engineer,other-relative,0,Rear Collision,Parked Car,1
Trivial Damage,chess,14924,703,34,engineer,unmarried,600000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,24972,1437,55,engineer,other-relative,1200000,Side Collision,Multi-vehicle Collision,0
Minor Damage,chess,21097,1200,41,engineer,unmarried,0,Front Collision,Parked Car,1
Major Damage,chess,16373,698,68,doctor,wife,1200000,Side Collision,Parked Car,0
Total Loss,skydiving,17652,702,64,doctor,other-relative,0,Rear Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,18872,1306,23,engineer,unmarried,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,chess,17401,1158,44,teacher,unmarried,0,Side Collision,Parked Car,0
Total Loss,chess,12517,823,55,manager,other-relative,0,Side Collision,Multi-vehicle Collision,1
Minor Damage,reading,15997,874,35,lawyer,wife,600000,Side Collision,Parked Car,0
Trivial Damage,biking,18962,793,35,teacher,husband,600000,Front Collision,Parked Car,0
Minor Damage,chess,15983,1144,48,engineer,wife,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,19091,958,57,engineer,other-relative,1200000,Rear Collision,Parked Car,0
Total Loss,biking,14935,1339,25,manager,wife,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,23477,879,68,teacher,husband,1200000,Front Collision,Parked Car,1
Total Loss,board games,10748,617,56,engineer,other-relative,600000,Front Collision,Single Vehicle Collision,0
Major Damage,skydiving,26726,534,21,manager,own-child,1200000,Side Collision,Single Vehicle Collision,0
Minor Damage,skydiving,16605,1257,45,lawyer,unmarried,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,biking,11607,973,68,manager,own-child,600000,Side Collision,Parked Car,0
Total Loss,skydiving,20244,706,18,doctor,husband,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,board games,27193,1539,55,lawyer,husband,0,Front Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,16123,703,53,lawyer,unmarried,0,Front Collision,Multi-vehicle Collision,1
Major Damage,reading,14569,1093,36,engineer,other-relative,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,chess,22117,844,63,engineer,husband,0,Front Collision,Multi-vehicle Collision,1
Total Loss,cross-fit,14768,535,68,doctor,own-child,600000,Rear Collision,Parked Car,0
Major Damage,chess,7508,1360,60,doctor,own-child,0,Rear Collision,Multi-vehicle Collision,1
Major Damage,reading,22763,736,41,manager,own-child,0,Front Collision,Multi-vehicle Collision,1
Total Loss,biking,13719,1093,22,manager,own-child,1200000,Front Collision,Parked Car,0
Trivial Damage,chess,7108,473,50,lawyer,husband,0,Front Collision,Parked Car,1
Minor Damage,biking,13205,899,19,manager,other-relative,600000,Rear Collision,Parked Car,0
Minor Damage,cross-fit,15797,1463,68,engineer,other-relative,1200000,Front Collision,Multi-vehicle Collision,0
Total Loss,skydiving,28933,1181,43,lawyer,wife,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,skydiving,4829,790,56,engineer,wife,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,biking,8559,1211,45,teacher,other-relative,1200000,Front Collision,Multi-vehicle Collision,0
Minor Damage,reading,12087,1583,61,engineer,husband,0,Front Collision,Single Vehicle Collision,0
Minor Damage,biking,13416,1102,26,engineer,husband,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,biking,13015,1121,35,engineer,other-relative,0,Rear Collision,Parked Car,0
Major Damage,chess,14540,999,55,engineer,other-relative,600000,Front Collision,Single Vehicle Collision,0
Total Loss,skydiving,12324,1465,44,doctor,other-relative,0,Front Collision,Parked Car,0
Major Damage,skydiving,8332,1445,46,engineer,other-relative,600000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,cross-fit,11256,1650,31,doctor,own-child,0,Side Collision,Parked Car,0
Major Damage,reading,10043,797,59,engineer,unmarried,1200000,Front Collision,Parked Car,1
Major Damage,skydiving,13647,1388,43,doctor,unmarried,1200000,Front Collision,Single Vehicle Collision,0
Major Damage,chess,17569,1348,50,doctor,husband,0,Side Collision,Single Vehicle Collision,0
Major Damage,board games,11588,1142,34,engineer,husband,1200000,Front Collision,Multi-vehicle Collision,1
Minor Damage,chess,5890,928,23,teacher,other-relative,0,Rear Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,27088,1324,68,doctor,own-child,0,Front Collision,Parked Car,1
Minor Damage,reading,18864,1270,48,engineer,other-relative,1200000,Rear Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,13354,1169,59,teacher,unmarried,0,Front Collision,Multi-vehicle Collision,0
Trivial Damage,cross-fit,13155,857,31,teacher,husband,0,Side Collision,Parked Car,0
Trivial Damage,reading,10984,1001,57,doctor,wife,600000,Side Collision,Single Vehicle Collision,0
Total Loss,skydiving,22594,596,43,lawyer,own-child,0,Front Collision,Single Vehicle Collision,1
Total Loss,biking,24334,947,62,manager,unmarried,0,Side Collision,Single Vehicle Collision,0
Minor Damage,biking,26462,833,44,teacher,unmarried,600000,Front Collision,Single Vehicle Collision,1
Total Loss,cross-fit,8336,1157,55,teacher,own-child,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,reading,18473,549,35,teacher,unmarried,600000,Front Collision,Parked Car,1
Trivial Damage,skydiving,13236,768,19,engineer,own-child,1200000,Front Collision,Parked Car,0
Minor Damage,board games,13821,1519,26,teacher,husband,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,21875,1231,67,lawyer,other-relative,600000,Side Collision,Parked Car,0
Trivial Damage,chess,11471,861,34,lawyer,husband,600000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,board games,14238,1257,40,lawyer,other-relative,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,reading,8789,592,44,teacher,husband,1200000,Front Collision,Multi-vehicle Collision,1
Total Loss,chess,11500,1363,45,doctor,wife,0,Front Collision,Parked Car,1
Trivial Damage,reading,17101,838,18,lawyer,wife,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,cross-fit,22164,903,56,manager,husband,1200000,Side Collision,Parked Car,0
Total Loss,cross-fit,8863,769,58,teacher,husband,1200000,Front Collision,Single Vehicle Collision,1
Minor Damage,biking,23263,1338,37,doctor,unmarried,1200000,Side Collision,Multi-vehicle Collision,0
Total Loss,reading,27383,1080,42,lawyer,husband,1200000,Side Collision,Multi-vehicle Collision,1
Trivial Damage,skydiving,10438,880,32,doctor,unmarried,0,Side Collision,Single Vehicle Collision,0
Minor Damage,skydiving,12376,460,58,teacher,other-relative,1200000,Side Collision,Single Vehicle Collision,0
Total Loss,board games,2543,1439,25,engineer,husband,0,Side Collision,Multi-vehicle Collision,1
Major Damage,biking,19459,1320,40,manager,husband,1200000,Rear Collision,Parked Car,0
Trivial Damage,skydiving,23038,840,46,manager,other-relative,0,Rear Collision,Multi-vehicle Collision,1
Major Damage,cross-fit,23019,1449,67,manager,wife,600000,Front Collision,Multi-vehicle Collision,0
Major Damage,skydiving,23185,691,34,manager,husband,0,Front Collision,Multi-vehicle Collision,1
Total Loss,board games,7688,1411,20,teacher,other-relative,0,Front Collision,Parked Car,0
Trivial Damage,biking,11757,1367,54,doctor,other-relative,600000,Side Collision,Parked Car,0
Trivial Damage,cross-fit,9889,1281,18,doctor,own-child,600000,Rear Collision,Parked Car,0
Minor Damage,skydiving,10144,618,54,engineer,own-child,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,11620,988,19,engineer,own-child,600000,Rear Collision,Parked Car,0
Trivial Damage,reading,17975,589,67,manager,wife,1200000,Front Collision,Single Vehicle Collision,0
